RegNumber,RegTitle,SectionNumber,SectionDetail,
36,พ.ร.บ.ความปลอดภัย พ.ศ.2554,มาตรา 11,นิติบุคคลใดประสงค์จะให้บริการในการตรวจวัด ตรวจสอบ ทดสอบ รับรอง ประเมินความเสี่ยง รวมทั้งจัดฝึกอบรมหรือให้คําปรึกษาเพื่อส่งเสริมความปลอดภัย อาชีวอนามัยและสภาพแวดล้อมในการทํางานตามมาตรฐานที่กําหนดในกฎกระทรวงที่ออกตามมาตรา ๘ จะต้องได้รับใบอนุญาตจากอธิบดีคุณสมบัติของผู้ขออนุญาต การขออนุญาต การอนุญาต การขอต่ออายุใบอนุญาต การออกใบแทนใบอนุญาต การพักใช้และการเพิกถอนใบอนุญาต การกําหนดค่าบริการ และวิธีการให้บริการตามวรรคหนึ่ง ให้เป็นไปตามหลักเกณฑ์ วิธีการ และเงื่อนไขที่กําหนดในกฎกระทรวง,
36,พ.ร.บ.ความปลอดภัย พ.ศ.2554,มาตรา 12,ในกรณีที่อธิบดีไม่ออกใบอนุญาต ไม่ต่ออายุใบอนุญาต ไม่ออกใบแทนใบอนุญาต หรือพักใช้ใบอนุญาตหรือเพิกถอนใบอนุญาตที่ออกให้แก่นิติบุคคลตามมาตรา ๑๑ นิติบุคคลนั้นมีสิทธิอุทธรณ์เป็นหนังสือต่อคณะกรรมการภายในสามสิบวันนับแต่วันที่ได้รับหนังสือของอธิบดีแจ้งการไม่ออกใบอนุญาต หรือการไม่ต่ออายุใบอนุญาต หรือการเพิกถอนใบอนุญาตคําวินิจฉัยของคณะกรรมการให้เป็นที่สุด,
36,พ.ร.บ.ความปลอดภัย พ.ศ.2554,มาตรา 13,ให้นายจ้างจัดให้มีเจ้าหน้าที่ความปลอดภัยในการทํางาน บุคลากร หน่วยงาน หรือคณะบุคคลเพื่อดําเนินการด้านความปลอดภัยในสถานประกอบกิจการตามหลักเกณฑ์ วิธีการและเงื่อนไขที่กําหนดในกฎกระทรวงเจ้าหน้าที่ความปลอดภัยในการทํางานและบุคลากรตามวรรคหนึ่งจะต้องขึ้นทะเบียนต่อกรมสวัสดิการและคุ้มครองแรงงานให้นําบทบัญญัติมาตรา ๙ วรรคสอง และมาตรา ๑๐ มาใช้บังคับกับการขึ้นทะเบียนเจ้าหน้าที่ความปลอดภัยในการทํางาน โดยอนุโลม,
36,พ.ร.บ.ความปลอดภัย พ.ศ.2554,มาตรา 14,ในกรณีที่นายจ้างให้ลูกจ้างทํางานในสภาพการทํางานหรือสภาพแวดล้อมในการ ทํางานที่อาจทําให้ลูกจ้างได้รับอันตรายต่อชีวิต ร่างกาย จิตใจ หรือสุขภาพอนามัย ให้นายจ้างแจ้งให้ลูกจ้างทราบถึงอันตรายที่อาจจะเกิดขึ้นจากการทํางานและแจกคู่มือปฏิบัติงานให้ลูกจ้างทุกคนก่อนที่ลูกจ้างจะเข้าทํางาน เปลี่ยนงาน หรือเปลี่ยนสถานที่ทํางาน,
36,พ.ร.บ.ความปลอดภัย พ.ศ.2554,มาตรา 15,ในกรณีที่นายจ้างได้รับคําเตือน คําสั่ง หรือคําวินิจฉัยของอธิบดี คําสั่งของ พนักงานตรวจความปลอดภัย หรือคําวินิจฉัยของคณะกรรมการให้ปฏิบัติการตามพระราชบัญญัตินี้ให้นายจ้างแจ้งหรือปิดประกาศคําเตือน คําสั่ง หรือคําวินิจฉัยดังกล่าว ในที่ที่เห็นได้ง่าย ณ สถานประกอบกิจการเป็นเวลาไม่น้อยกว่าสิบห้าวันนับแตว่ ันที่ได้รับแจ้ง,
36,พ.ร.บ.ความปลอดภัย พ.ศ.2554,มาตรา 16,ให้นายจ้างจัดให้ผู้บริหาร หัวหน้างาน และลูกจ้างทุกคนได้รับการฝึกอบรม ความปลอดภัย อาชีวอนามัย และสภาพแวดล้อมในการทํางาน เพื่อให้บริหารจัดการ และดําเนินการด้านความปลอดภัย อาชีวอนามัย และสภาพแวดล้อมในการทํางานได้อย่างปลอดภัยในกรณีที่นายจ้างรับลูกจ้างเข้าทํางาน เปลี่ยนงาน เปลี่ยนสถานที่ทํางาน หรือเปลี่ยนแปลงเครื่องจักรหรืออุปกรณ์ ซึ่งอาจทําให้ลูกจ้างได้รับอันตรายต่อชีวิต ร่างกาย จิตใจ หรือสุขภาพอนามัยให้นายจ้างจัดให้มีการฝึกอบรมลูกจ้างทุกคนก่อนการเริ่มทํางานการฝึกอบรมตามวรรคหนึ่งและวรรคสอง ให้เป็นไปตามหลักเกณฑ์ วิธีการ และเงื่อนไขที่อธิบดีประกาศกําหนด,
36,พ.ร.บ.ความปลอดภัย พ.ศ.2554,มาตรา 17,ให้นายจ้างติดประกาศสัญลักษณ์เตือนอันตรายและเครื่องหมายเกี่ยวกับ ความปลอดภัย อาชีวอนามัย และสภาพแวดล้อมในการทํางาน รวมทั้งข้อความแสดงสิทธิและหน้าที่ของนายจ้างและลูกจ้างตามที่อธิบดีประกาศกําหนดในที่ที่เห็นได้ง่าย ณ สถานประกอบกิจการ,
36,พ.ร.บ.ความปลอดภัย พ.ศ.2554,มาตรา 18,ในกรณีที่สถานที่ใดมีสถานประกอบกิจการหลายแห่ง ให้นายจ้างทุกราย ของสถานประกอบกิจการในสถานที่นั้น มีหน้าที่ร่วมกันดําเนินการด้านความปลอดภัย อาชีวอนามัยและสภาพแวดล้อมในการทํางานให้เป็นไปตามพระราชบัญญัตินี้ลูกจ้างซึ่งทํางานในสถานประกอบกิจการตามวรรคหนึ่ง รวมทั้งลูกจ้างซึ่งทํางานในสถานประกอบกิจการอื่นที่ไม่ใช่ของนายจ้าง ต้องปฏิบัติตามหลักเกณฑ์เกี่ยวกับความปลอดภัย อาชีวอนามัยและสภาพแวดล้อมในการทํางานซึ่งใช้ในสถานประกอบกิจการนั้นด้วย,
36,พ.ร.บ.ความปลอดภัย พ.ศ.2554,มาตรา 19,ในกรณีที่นายจ้างเช่าอาคาร สถานที่ เครื่องมือ เครื่องจักร อุปกรณ์ หรือสิ่งอื่นใด ที่นํามาใช้ในสถานประกอบกิจการ ให้นายจ้างมีอํานาจดําเนินการด้านความปลอดภัย อาชีวอนามัยและสภาพแวดล้อมในการทํางานเกี่ยวกับอาคารสถานที่ เครื่องมือ เครื่องจักร อุปกรณ์หรือสิ่งอื่นใดที่เช่านั้นตามมาตรฐานที่กําหนดในกฎกระทรวงที่ออกตามมาตรา ๘การดําเนินการตามวรรคหนึ่งไม่ก่อให้เกิดสิทธิแก่ผู้มีกรรมสิทธิ์ในอาคาร สถานที่ เครื่องมือเครื่องจักร อุปกรณ์หรือสิ่งอื่นใดซึ่งให้เช่า หรือผู้ให้เช่าในอันที่จะเรียกร้องค่าเสียหายหรือค่าทดแทนใด ๆตลอดจนการบอกเลิกสัญญาเช่า,
36,พ.ร.บ.ความปลอดภัย พ.ศ.2554,มาตรา 20,ให้ผู้บริหารหรือหัวหน้างานมีหน้าที่สนับสนุนและร่วมมือกับนายจ้างและบุคลากรอื่น เพื่อปฏิบัติการให้เป็นไปตามมาตรา ๘ มาตรา ๑๖ มาตรา ๑๘ และมาตรา ๒๒,
36,พ.ร.บ.ความปลอดภัย พ.ศ.2554,มาตรา 21,ลูกจ้างมีหน้าที่ดูแลสภาพแวดล้อมในการทํางานตามมาตรฐานที่กําหนด ในกฎกระทรวงที่ออกตามมาตรา ๘ เพื่อให้เกิดความปลอดภัยต่อชีวิต ร่างกาย จิตใจ และสุขภาพอนามัยโดยคํานึงถึงสภาพของงานและพื้นที่ที่รับผิดชอบในกรณีที่ลูกจ้างทราบถึงข้อบกพร่องหรือการชํารุดเสียหาย และไม่สามารถแก้ไขได้ด้วยตนเองให้แจ้งต่อเจ้าหน้าที่ความปลอดภัยในการทํางาน หัวหน้างาน หรือผู้บริหาร และให้เจ้าหน้าที่ความปลอดภัยในการทํางาน หัวหน้างาน หรือผู้บรหาร ิ แจ้งเป็นหนังสือต่อนายจ้างโดยไม่ชักช้าในกรณีที่หัวหน้างานทราบถึงข้อบกพร่องหรือการชํารุดเสียหายซึ่งอาจทําให้ลูกจ้างได้รับอันตรายต่อชีวิต ร่างกาย จิตใจ หรือสุขภาพอนามัย ต้องดําเนินการป้องกันอันตรายนั้นภายในขอบเขตที่รับผิดชอบหรือที่ได้รับมอบหมายทันทีที่ทราบ กรณีไม่อาจดําเนินการได้ ให้แจ้งผู้บริหารหรือนายจ้างดําเนินการแก้ไขโดยไม่ชักช้า,
36,พ.ร.บ.ความปลอดภัย พ.ศ.2554,มาตรา 22,ให้นายจ้างจัดและดูแลให้ลูกจ้างสวมใส่อุปกรณ์คุ้มครองความปลอดภัยส่วนบุคคล ที่ได้มาตรฐานตามที่อธิบดีประกาศกําหนดลูกจ้างมีหน้าที่สวมใส่อุปกรณ์คุ้มครองความปลอดภัยส่วนบุคคลและดูแลรักษาอุปกรณ์ตามวรรคหนึ่งให้สามารถใช้งานได้ตามสภาพและลักษณะของงานตลอดระยะเวลาทํางานในกรณีที่ลูกจ้างไม่สวมใส่อุปกรณ์ดังกล่าว ให้นายจ้างสั่งให้ลูกจ้างหยุดการทํางานนั้นจนกว่าลูกจ้างจะสวมใส่อุปกรณ์ดังกล่าว,
36,พ.ร.บ.ความปลอดภัย พ.ศ.2554,มาตรา 23,ให้ผู้รับเหมาชั้นต้นและผู้รับเหมาช่วงตามกฎหมายว่าด้วยการคุ้มครองแรงงาน มีหน้าที่ดําเนินการด้านความปลอดภัย อาชีวอนามัย และสภาพแวดล้อมในการทํางานของลูกจ้างเช่นเดียวกับนายจ้างในกรณีที่นายจ้างเป็นผู้รับเหมาช่วง และมีผู้รับเหมาช่วงถัดขึ้นไป ให้ผู้รับเหมาช่วงถัดขึ้นไปตลอดสายจนถึงผู้รับเหมาชั้นต้นที่มีลูกจ้างทํางานในสถานประกอบกิจการเดียวกัน มีหน้าที่ร่วมกันในการจัดสถานที่ทํางานให้มีสภาพการทํางานที่ปลอดภัย และมีสภาพแวดล้อมในการทํางานที่ถูกสุขลักษณะเพื่อให้เกิดความปลอดภัยแก่ลูกจ้างทุกคน,
36,พ.ร.บ.ความปลอดภัย พ.ศ.2554,มาตรา 24,"ให้มีคณะกรรมการคณะหนึ่ง เรียกว่า “คณะกรรมการความปลอดภัย อาชีวอนามัย และสภาพแวดล้อมในการทํางาน” ประกอบด้วย ปลัดกระทรวงแรงงานเป็นประธานกรรมการ อธิบดีกรมควบคุมมลพิษ อธิบดีกรมควบคุมโรค อธิบดีกรมพัฒนาฝีมือแรงงาน อธิบดีกรมโยธาธิการและผังเมืองอธิบดีกรมโรงงานอุตสาหกรรม อธิบดีกรมส่งเสริมการปกครองท้องถิ่น และอธิบดีกรมสวัสดิการและคุ้มครองแรงงาน เป็นกรรมการ กับผู้แทนฝ่ายนายจ้างและผู้แทนฝ่ายลูกจ้าง ฝ่ายละแปดคนและผู้ทรงคุณวุฒิอีกห้าคนซึ่งรัฐมนตรีแต่งตั้งเป็นกรรมการให้ข้าราชการกรมสวัสดิการและคุ้มครองแรงงานซึ่งรัฐมนตรีแต่งตั้งเป็นเลขานุการการได้มาและการพ้นจากตําแหน่งของผู้แทนฝ่ายนายจ้างและฝ่ายลูกจ้างตามวรรคหนึ่งให้เป็นไปตามหลักเกณฑ์ วิธีการ และเงื่อนไขที่รัฐมนตรีประกาศกาหนด ํ โดยต้องคํานึงถึงการมีส่วนร่วมของทั้งหญิงและชาย ผู้ทรงคุณวุฒิต้องเป็นผู้มีความรู้ ความเชี่ยวชาญ มีผลงานหรือประสบการณ์ที่เกี่ยวข้องกับความปลอดภัย อาชีวอนามัย และสภาพแวดล้อมในการทํางาน โดยต้องคํานึงถึงการมีส่วนร่วมของทั้งหญิงและชาย ,หมวด ๓ คณะกรรมการความปลอดภัย อาชีวอนามัย และสภาพแวดล้อมในการทํางาน",
36,พ.ร.บ.ความปลอดภัย พ.ศ.2554,มาตรา 25,คณะกรรมการมีอํานาจหน้าที่ดังต่อไปนี้ (๑) เสนอความเห็นต่อรัฐมนตรีเกี่ยวกับนโยบาย แผนงาน หรือมาตรการความปลอดภัยอาชีวอนามยั และการพัฒนาสภาพแวดล้อมในการทํางาน(๒) เสนอความเห็นต่อรัฐมนตรีในการออกกฎกระทรวง ประกาศ และระเบียบ เพื่อปฏิบัติการตามพระราชบัญญัตินี้(๓) ให้ความเห็นแก่หน่วยงานของรัฐเกี่ยวกับการส่งเสริมความปลอดภัย อาชีวอนามัยและสภาพแวดล้อมในการทํางาน(๔) วินิจฉัยอุทธรณ์ตามมาตรา ๑๒ มาตรา ๓๓ วรรคสาม และมาตรา ๔๐ วรรคสอง(๕) ปฏิบัติการอื่นใดตามที่พระราชบัญญัตินี้หรือกฎหมายอื่นบัญญัติให้เป็นอํานาจหน้าที่ของคณะกรรมการหรือตามที่รัฐมนตรีมอบหมาย,
36,พ.ร.บ.ความปลอดภัย พ.ศ.2554,มาตรา 26,กรรมการผู้ทรงคุณวุฒิมีวาระอยู่ในตําแหน่งคราวละสองปี กรรมการผู้ทรงคุณวุฒิ ซึ่งพ้นจากตําแหน่งอาจได้รับแต่งตั้งอีกได้ในกรณีที่กรรมการผู้ทรงคุณวุฒิพ้นจากตําแหน่งก่อนวาระ ให้รัฐมนตรีแต่งตั้งกรรมการแทนตําแหน่งที่ว่าง และให้ผู้ได้รับแต่งตั้งให้ดํารงตําแหน่งแทนอยู่ในตําแหน่งเท่ากับวาระที่เหลืออยู่ของกรรมการผู้ทรงคุณวุฒิซึ่งตนแทนในกรณีที่กรรมการผู้ทรงคุณวุฒิพ้นจากตําแหน่งตามวาระ แต่ยังมิได้มีการแต่งตั้งกรรมการใหม่ให้กรรมการนั้นปฏิบัติหน้าที่ไปพลางก่อนจนกว่ากรรมการผู้ทรงคุณวุฒิท่ไดี ้รับแต่งตั้งจะเข้ารับหน้าที่,
36,พ.ร.บ.ความปลอดภัย พ.ศ.2554,มาตรา 27,นอกจากการพ้นจากตําแหน่งตามวาระตามมาตรา ๒๖ กรรมการผู้ทรงคุณวุฒิ พ้นจากตําแหน่ง เมื่อ(๑) ตาย(๒) ลาออก(๓) รัฐมนตรีให้ออก เมื่อขาดประชุมสามครั้งติดต่อกันโดยไม่มีเหตุอันสมควร(๔) เป็นบุคคลล้มละลาย(๕) เป็นบุคคลวิกลจริต หรือจิตฟั่นเฟือน๖) เป็นคนไร้ความสามารถหรือคนเสมือนไร้ความสามารถ(๗) ต้องคําพิพากษาว่าได้กระทําความผิดตามพระราชบัญญัตินี้(๘) ได้รับโทษจําคุกโดยคําพิพากษาถึงที่สุดให้จําคุก เว้นแต่เป็นโทษสําหรับความผิดที่ได้กระทําโดยประมาทหรือความผิดฐานหมิ่นประมาทหรือความผิดลหุโทษ,
36,พ.ร.บ.ความปลอดภัย พ.ศ.2554,มาตรา 28,การประชุมคณะกรรมการต้องมีกรรมการมาประชุมไม่น้อยกว่ากึ่งหนึ่งของจํานวน กรรมการทั้งหมด โดยมกรรมการผ ี ู้แทนฝ่ายนายจ้างและฝ่ายลูกจ้างอย่างน้อยฝ่ายละหนึ่งคน จึงจะเป็นองค์ประชุมในการประชุมเพื่อพิจารณาวินิจฉัยอุทธรณ์คราวใด ถ้าไม่ได้องค์ประชุมตามที่กําหนดไว้ในวรรคหนึ่ง ให้จัดให้มีการประชุมอีกครั้งภายในสิบห้าวันนับแต่วันที่นัดประชุมครั้งแรก การประชุมครั้งหลังแม้ไม่มีกรรมการซึ่งมาจากฝ่ายนายจ้างหรือฝ่ายลูกจ้างมาร่วมประชุม ถ้ามีกรรมการมาประชุมไม่น้อยกว่ากึ่งหนึ่งของจํานวนกรรมการทั้งหมด ก็ให้ถือเป็นองค์ประชุมในการประชุมคราวใด ถ้าประธานกรรมการไม่มาประชุมหรือไม่สามารถปฏิบัติหน้าที่ได้ให้กรรมการซึ่งมาประชุมเลือกกรรมการคนหนึ่งเป็นประธานในที่ประชุมสําหรับการประชุมคราวนั้นมติที่ประชุมให้ถือเสียงข้างมาก กรรมการคนหนึ่งมีเสียงหนึ่งในการลงคะแนน ถ้าคะแนนเสียงเท่ากัน ให้ประธานในที่ประชุมออกเสียงเพิ่มขึ้นอีกเสียงหนึ่งเป็นเสียงชี้ขาด,
36,พ.ร.บ.ความปลอดภัย พ.ศ.2554,มาตรา 29,คณะกรรมการมีอํานาจแต่งตั้งคณะอนุกรรมการเพื่อพิจารณาหรือปฏิบัติการ อย่างหนึ่งอย่างใดตามที่คณะกรรมการมอบหมายได้ให้คณะกรรมการกําหนดองค์ประชุมและวิธีดําเนินงานของคณะอนุกรรมการได้ตามความเหมาะสม,
36,พ.ร.บ.ความปลอดภัย พ.ศ.2554,มาตรา 30,ในการปฏิบัติหน้าที่ตามพระราชบัญญัตินี้ ให้กรรมการและอนุกรรมการได้รับเบี้ยประชุม,
36,พ.ร.บ.ความปลอดภัย พ.ศ.2554,มาตรา 31,"ให้กรมสวัสดิการและคุ้มครองแรงงาน กระทรวงแรงงานรับผิดชอบงานธุรการ ของคณะกรรมการ และมีอํานาจหน้าที่ดังต่อไปนี้(๑) สรรหา รวบรวม และวิเคราะห์ข้อมูลด้านความปลอดภัย อาชีวอนามัย และสภาพแวดล้อมในการทํางานเพื่อการจัดทํานโยบาย แผนงาน โครงการด้านความปลอดภัย อาชีวอนามัยและสภาพแวดล้อมในการทํางานเสนอต่อคณะกรรมการ (๒) จัดทําแนวทางการกําหนดมาตรฐานความปลอดภัย อาชีวอนามัย และสภาพแวดล้อมในการทํางานเสนอต่อคณะกรรมการ (๓) จัดทําแผนปฏิบัติการด้านความปลอดภัย อาชีวอนามัย และสภาพแวดล้อมในการทํางานประจําปีเสนอต่อคณะกรรมการ (๔) ประสานแผนและการดําเนินการของคณะกรรมการและคณะอนุกรรมการตลอดจนหน่วยงานที่เกี่ยวข้อง, (๕) ติดตามและประเมินผลการปฏิบัติงานตามมติของคณะกรรมการ, (๖) รับผิดชอบงานธุรการของคณะอนุกรรมการ, (๗) ปฏิบัติหน้าที่อื่นตามที่คณะกรรมการหรือคณะอนกรรมการมอบหมาย",
36,พ.ร.บ.ความปลอดภัย พ.ศ.2554,มาตรา 32,"เพื่อประโยชน์ในการควบคุม กํากับ ดูแลการดําเนินการด้านความปลอดภัย อาชีวอนามัย และสภาพแวดล้อมในการทํางาน ให้นายจ้างดําเนินการดังต่อไปนี้(๑) จัดให้มีการประเมินอันตราย(๒) ศึกษาผลกระทบของสภาพแวดล้อมในการทํางานที่มีผลต่อลูกจ้าง(๓) จัดทําแผนการดําเนินงานด้านความปลอดภัย อาชีวอนามัย และสภาพแวดล้อมในการทํางานและจัดทําแผนการควบคุมดูแลลูกจางและสถานประกอบก ้ ิจการ(๔) ส่งผลการประเมินอันตราย การศึกษาผลกระทบ แผนการดําเนินงานและแผนการควบคุมตาม (๑) (๒) และ (๓) ให้อธิบดีหรือผู้ซึ่งอธิบดีมอบหมายหลักเกณฑ์ วิธีการ และเงื่อนไขในการดําเนินการตามวรรคหนึ่ง ประเภทกิจการ ขนาดของกิจการที่ต้องดําเนินการ และระยะเวลาที่ต้องดําเนินการ ให้เป็นไปตามที่รัฐมนตรีกําหนดโดยประกาศในราชกิจจานุเบกษาในการดําเนินการตามวรรคหนึ่ง นายจ้างจะต้องปฏิบัติตามคําแนะนําและได้รับการรับรองผลจากผู้ชํานาญการด้านความปลอดภัย อาชีวอนามัย และสภาพแวดล้อมในการทํางาน,หมวด ๔ การควบคุม กํากับ ดูแล"
